date,predit_result,
2031-10-13,5.754974,
2031-10-20,5.853543,
2031-10-27,5.5660553,
2031-11-03,5.5405407,
2031-11-10,5.520778,
2031-11-17,5.4860277,
2031-11-24,5.653672,
2031-12-01,5.6179013,
2031-12-08,5.6513824,
2031-12-15,5.6133804,
2031-12-22,5.7127013,
2031-12-29,5.6600375,
2032-01-05,5.6055093,
2032-01-12,5.5514255,
2032-01-19,5.3506308,
2032-01-26,5.3700857,
2032-02-02,5.401878,
2032-02-09,5.75794,
2032-02-16,5.9181967,
2032-02-23,6.68404,
2032-03-01,6.5855,
2032-03-08,6.3438144,
2032-03-15,5.936243,
2032-03-22,5.675174,
2032-03-29,5.080746,
2032-04-05,5.104404,
2032-04-12,5.16674,
2032-04-19,5.2826395,
2032-04-26,5.3808208,
2032-05-03,5.4176865,
2032-05-10,5.5467596,
2032-05-17,5.7397776,
2032-05-24,7.485326,
2032-05-31,7.299886,
2032-06-07,7.310346,
2032-06-14,6.70154,
2032-06-21,6.872809,
2032-06-28,5.026545,
2032-07-05,5.029391,
2032-07-12,4.9903502,
2032-07-19,4.940653,
2032-07-26,4.9109635,
2032-08-02,4.9241166,
2032-08-09,4.896623,
2032-08-16,4.864529,
2032-08-23,4.876658,
2032-08-30,4.8851295,
2032-09-06,4.8942633,
2032-09-13,4.8955355,
2032-09-20,4.90728,
2032-09-27,4.9187007,
2032-10-04,4.934297,
2032-10-11,4.974804,
2032-10-18,5.0105357,
2032-10-25,5.3598933,
2032-11-01,5.3408036,
2032-11-08,5.358775,
2032-11-15,5.3003407,
2032-11-22,5.3843813,
2032-11-29,5.3893657,
2032-12-06,5.4124026,
